0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,churn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2682808824444628,1.6784495681880929,0.1572116449469606,-1.3257211722477082,0.312618450453655,-0.7452932418908935,-1.1322771304141794,-0.747791164266903,-0.31021018137886486,1.6291093038196784,1.6286822735914372,1.2627977857605914,1.262646142621774,-0.4501499499242582,-0.45221816588957275,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5151459408624928,-0.5960152035548312,0.7181790034465638,0.5491765212097101,-0.5902948988917169,-1.4725002259882285,1.15133148317101,-1.4742645848061302,-0.31021018137886486,1.6365427533056582,1.636334171673641,-0.29539616049870693,-0.29486019717904616,1.2846304056207114,1.2859341953562293,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9599851574479153,-0.5960152035548312,-0.4536011379554944,0.3471348617263658,0.7618732191164944,0.7159295247921845,-0.5170514360777964,0.7093075669861443,-1.5083770773858174,-0.6157924409459838,-0.6155101210891756,-0.19725798136412379,-0.19825239092816316,-0.10720493166045522,-0.10904449456668382,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2554943827615666,-0.5960152035548312,0.46307559079508387,-0.2598657047347888,0.36260363456420674,-0.4498126956530907,-0.5170514360777964,-0.4470484967907142,-0.31021018137886486,0.9693906619390414,0.9695259102244572,-0.2573425808342767,-0.25715958986162835,0.6147845804738672,0.6129572554892652,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0132147691809374,1.6891603604653593,-1.2658815639655931,1.758707942657885,-1.9071904531462365,0.9449452460597453,-0.5170514360777964,0.9500187913568924,0.5687379905498986,0.21489553911217144,0.21526738497865952,1.3529246849658207,1.3521850850006418,-0.0009120312629019728,-0.002081272336172833,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8320230116378852,-0.5960152035548312,-0.7585116214703473,-0.36116800493609813,0.16255696342866857,0.29878087712216855,-0.5170514360777964,0.3015994001500331,-0.31021018137886486,-0.9540143925580289,-0.954379893301056,0.023052216693103464,0.02323867706166638,1.4992217328384125,1.4998606398172514,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41223399785593806,-0.5960152035548312,0.2591338976782926,-0.2092296299020741,0.012332861043205948,-0.41270986806918736,-1.9305707274024322,-0.4195806685585531,1.2887223741375349,0.32268055665886686,0.3223939581295124,-0.4556217590857813,-0.45508777827807145,-1.4789850047156676,-1.4772823789319687,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1439351558926852,-0.5960152035548312,0.5650938655447408,0.44817312664255254,-1.5509217400154285,-1.6870408900014062,1.15133148317101,-1.6860200660606404,-0.31021018137886486,0.45276592266349963,0.45247622552697586,-1.3188371714736442,-1.3198454586213408,1.2084204015620883,1.2101685796096175,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.03135616273153777,1.6641824406234715,-2.3274654549156435,-0.8683122009885478,-0.4896553968640411,0.18565194516827738,1.15133148317101,0.18980011690835655,-0.31021018137886486,1.212836132604854,1.21329352055752,1.8516268605680892,1.8517181319564264,-0.3318238909911331,-0.33188454088024816,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.4198175390158727,-0.5960152035548312,-1.0123293533637117,1.758707942657885,-0.6406463796971508,0.6398183011417503,2.1415855027590056,0.6387467319294524,0.5687379905498986,-0.6975603852917531,-0.6974947433985015,0.10316501598664064,0.10335246761117904,0.5526132613734117,0.5505620425214669,0
